0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,,,,,,0.0153490233004659,,,0.015349023300465845,,,0.0153490233004659,0.0613960932018636,0.03069804660093169,0.0306980466009318,,,0.0153490233004659,0.06139609320186338,,0.015349023300465845,,0.015349023300465845,0.0153490233004659,0.0153490233004659,0.0153490233004659,0.015349023300465791,,0.046047069901397696,,0.0153490233004659,0.015349023300465791,0.0153490233004659,0.0153490233004659,0.0306980466009318,0.0153490233004659,,0.046047069901397696,,,,0.015349023300465791,0.0306980466009318,,0.0306980466009318,,,,,,,,,,,,,0.0153490233004659,,,,,,,,,,0.0153490233004659,,0.0153490233004659,,,,,,,,,0.0153490233004659,,,,,,,,,,,
,,,,,,,,,,,,,0.0153490233004659,,,0.015349023300465845,0.0306980466009318,,,0.015349023300465845,0.0306980466009318,0.0153490233004659,0.015349023300465845,0.0153490233004659,,0.0153490233004659,,0.03069804660093169,0.0153490233004659,0.046047069901397536,0.0153490233004659,0.015349023300465845,0.0153490233004659,0.0153490233004659,0.046047069901397696,0.015349023300465791,0.0306980466009318,,0.0613960932018636,0.0306980466009318,0.04604706990139736,0.046047069901397696,0.0306980466009318,0.0153490233004659,0.0153490233004659,0.015349023300465791,,0.0306980466009318,,0.0153490233004659,,,,0.0153490233004659,,0.015349023300465791,,,,0.0153490233004659,,,,,,,,0.0153490233004659,0.0153490233004659,0.0153490233004659,,0.0153490233004659,0.015349023300465678,,,,,,,,,,,,,,,0.0306980466009318,,,,,,,,,,,
,,,,,,,,,,,,,0.015349023300465952,,0.015349023300465952,0.015349023300465895,,,0.015349023300465952,0.03069804660093179,,,0.015349023300465895,0.04604706990139786,,,0.030698046600931905,0.10744316310326128,0.015349023300465952,0.04604706990139769,0.04604706990139786,0.015349023300465895,,0.015349023300465952,0.015349023300465952,0.01534902330046584,0.030698046600931905,0.015349023300465952,0.04604706990139786,0.04604706990139786,0.04604706990139753,0.015349023300465952,0.015349023300465952,0.015349023300465952,,0.03069804660093168,0.04604706990139786,0.030698046600931905,0.030698046600931905,,0.01534902330046584,0.030698046600931905,,,,0.01534902330046584,0.015349023300465952,0.015349023300465952,,,,0.015349023300465952,,,,,,,0.015349023300465952,,0.015349023300465952,,,,0.015349023300465952,,0.015349023300465952,0.030698046600931905,0.015349023300465952,0.015349023300465952,,,,,0.015349023300465952,0.015349023300465952,0.015349023300465952,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.0306980466009318,0.015349023300465845,0.0153490233004659,0.046047069901397696,0.015349023300465845,0.0306980466009318,0.03069804660093169,,0.0153490233004659,,0.0153490233004659,0.015349023300465845,0.0153490233004659,0.015349023300465845,0.0306980466009318,,,,0.0153490233004659,0.0153490233004659,0.046047069901397696,0.0613960932018636,0.015349023300465791,0.0613960932018636,,0.0306980466009318,,,0.0306980466009318,,,0.0153490233004659,0.015349023300465791,0.0153490233004659,,,,,0.0153490233004659,0.0153490233004659,,,,,,0.0153490233004659,0.015349023300465791,,,0.0153490233004659,,,0.0153490233004659,,,0.0153490233004659,,0.0153490233004659,,,,,0.0153490233004659,,,,,,,,0.0153490233004659,0.0153490233004659,,,0.015349023300465678,,,,,,
,,,,,,,,,,,,,,,,,,0.015349023300465845,,,,0.0153490233004659,0.015349023300465845,0.0153490233004659,0.03069804660093169,0.046047069901397696,,,,,0.0153490233004659,,,,0.0153490233004659,0.015349023300465791,,,,,,,0.0153490233004659,0.0153490233004659,,0.015349023300465791,0.0306980466009318,,0.046047069901397696,,0.030698046600931582,0.0306980466009318,,0.0153490233004659,,0.015349023300465791,,,,0.0153490233004659,,0.0153490233004659,,,,0.0153490233004659,,,,,,,,,,0.0153490233004659,,,0.0153490233004659,,,,,,0.0153490233004659,,0.0153490233004659,0.0153490233004659,0.0153490233004659,,,,0.015349023300465678,,,,,,
,,,,,,,,,,,,,,,,,0.0153490233004659,,,,0.0153490233004659,0.0306980466009318,,,,0.0306980466009318,0.0306980466009318,,0.0153490233004659,0.015349023300465845,,0.015349023300465845,0.046047069901397696,0.0153490233004659,,,0.0306980466009318,0.0306980466009318,,0.046047069901397696,,0.0306980466009318,,0.0767451165023295,0.0306980466009318,,0.0613960932018636,0.0306980466009318,0.0153490233004659,0.0306980466009318,,,,,,0.015349023300465791,,0.0153490233004659,0.0153490233004659,,0.030698046600931582,,,,,,,,,,,0.0153490233004659,0.015349023300465678,,,,,,,0.0153490233004659,,0.0306980466009318,0.015349023300465678,,0.0306980466009318,,,0.0153490233004659,,0.0153490233004659,,,,,,,,,
,,,,,,,,,,,,,,0.0153490233004659,,,,,0.0153490233004659,0.015349023300465845,,,,,,,,0.015349023300465845,0.0153490233004659,,0.0153490233004659,,0.0153490233004659,,0.0153490233004659,0.015349023300465791,,,0.0306980466009318,0.0306980466009318,0.015349023300465791,0.0153490233004659,0.0306980466009318,0.046047069901397696,0.0153490233004659,0.030698046600931582,0.046047069901397696,0.0153490233004659,0.0153490233004659,0.0153490233004659,,,0.0153490233004659,0.0153490233004659,,,,,,,,,,0.0306980466009318,,,,,,0.0153490233004659,,,0.015349023300465678,,0.0153490233004659,,,,,,,,0.030698046600931356,,,,,,,,,0.0153490233004659,0.015349023300465678,,,0.0153490233004659,,,
,,,,,,,,,,,,,,,,,0.015349023300465952,,0.015349023300465952,,,,0.015349023300465895,,,,0.030698046600931905,0.015349023300465895,,,,,0.030698046600931905,0.015349023300465952,,0.01534902330046584,,0.030698046600931905,,,,0.015349023300465952,0.015349023300465952,0.015349023300465952,0.015349023300465952,,0.015349023300465952,,0.030698046600931905,0.030698046600931905,0.01534902330046584,,,0.015349023300465952,,,,,,,,,,0.015349023300465952,0.01534902330046584,,,0.015349023300465952,0.015349023300465952,,,,,0.015349023300465952,,0.015349023300465952,,0.015349023300465952,0.015349023300465952,,,,,,,,0.030698046600931905,0.015349023300465952,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465845,,,,,,,0.0153490233004659,,0.0153490233004659,,0.0153490233004659,0.0306980466009318,0.015349023300465791,0.0153490233004659,0.0153490233004659,,,,,,0.0153490233004659,0.0153490233004659,0.015349023300465791,,,0.0153490233004659,0.0153490233004659,0.015349023300465791,,0.0153490233004659,,,,,,,,0.0153490233004659,,,,,,,0.030698046600931356,0.0153490233004659,,0.0153490233004659,0.0153490233004659,,,0.0153490233004659,,0.0153490233004659,0.015349023300465678,,,,,0.0153490233004659,,0.0153490233004659,,,,0.0153490233004659,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.0153490233004659,0.015349023300465845,0.0613960932018636,,,,,,,0.0153490233004659,,,,0.0153490233004659,0.015349023300465791,0.0153490233004659,,,0.0306980466009318,0.015349023300465791,,,0.0153490233004659,,,0.0306980466009318,0.0153490233004659,0.0153490233004659,0.0153490233004659,0.015349023300465791,,,0.0153490233004659,0.0153490233004659,,,,,,,,0.0153490233004659,,,,,,,,0.0153490233004659,,,,0.0153490233004659,0.0153490233004659,0.0153490233004659,0.0306980466009318,,0.0153490233004659,0.0153490233004659,0.0153490233004659,,,,,,,0.0153490233004659,0.0153490233004659,,,,0.0153490233004659,,,,,
,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,,,,,,,,,,,,,0.030698046600931905,,,,0.015349023300465952,,,,0.015349023300465952,,0.015349023300465952,,,,,,,,,,,,,,0.015349023300465952,,,0.01534902330046584,,,,,,0.015349023300465952,,,,,,,0.015349023300465952,,,,,,0.030698046600931905,,0.015349023300465952,,,,0.015349023300465952,,0.015349023300465952,,,,,,,,,,,0.015349023300465952
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465845,,,,,,0.015349023300465791,0.0153490233004659,,,0.0153490233004659,,,,,0.0153490233004659,,,0.0153490233004659,,,,,,,0.0153490233004659,,,,,0.0153490233004659,,,,,,,,,,,,,,,,,0.0153490233004659,,0.0153490233004659,0.0153490233004659,,0.0153490233004659,,,,,,,,,,0.0153490233004659,,,,,,,
,,,,,,,,,,,,,,,,0.015349023300465845,,,,,,,,,,,,,,,0.0153490233004659,,,,,,,0.0153490233004659,,0.0153490233004659,0.030698046600931582,0.0306980466009318,0.0153490233004659,,0.0153490233004659,0.015349023300465791,,,0.0153490233004659,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0153490233004659,,,,0.0153490233004659,0.0153490233004659,0.0153490233004659,,,0.0306980466009318,,,,,0.0153490233004659,0.0153490233004659,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0153490233004659,,,,,,,,,,,,,,,,0.0153490233004659,,,,,,,,,,,,,,,,,,,,0.0153490233004659,,,,,0.0153490233004659,,,,,,,,,,,,,0.0153490233004659,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0153490233004659,,,0.0153490233004659,,,,,0.0153490233004659,,0.0153490233004659,,0.030698046600931582,,,,0.0153490233004659,,,,,,,,,,,,,,,,,,,,,,,,,0.046047069901397696,,,,,,0.0153490233004659,,,,,,,0.0153490233004659,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,,,,,0.015349023300465952,,,,,,,,,,,,0.015349023300465952,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0153490233004659,,,,,,,,,,,,,0.0153490233004659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0153490233004659,,,,,,0.0153490233004659,,,0.0153490233004659,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,,0.015349023300465952,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01534902330046585,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,,,,,,0.015349023300465952,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01534902330046573,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01534902330046585,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01534902330046585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,,,,,,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,,,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030698046600931905,,,,,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,,0.01534902330046573,0.015349023300465952,,,,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01534902330046585,,,,0.01534902330046585,0.01534902330046585,,0.01534902330046585,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,,,,,,,,,,0.01534902330046573,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465739,,,,,,0.01534902330046585,,,,0.01534902330046585,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,,,0.030698046600931905,0.015349023300465952,0.015349023300465952,,0.03069804660093146,,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,0.015349023300465952,,,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01534902330046585,0.0306980466009317,,,,,0.0306980466009317,0.01534902330046585,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,,0.01534902330046584,,,,,0.015349023300465952,0.015349023300465952,,,,,,,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01534902330046585,,0.01534902330046585,,,0.0306980466009317,0.01534902330046585,,,,,,,,0.01534902330046585,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,0.030698046600931905,,,,,,,0.030698046600931905,,,,0.015349023300465952,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,,,,,0.015349023300465952,0.03069804660093168,,,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465739,,,,,,,,0.015349023300465628,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01534902330046584,,,,0.01534902330046584,,,,0.015349023300465952,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,0.015349023300465952,0.015349023300465952,,,,,,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01534902330046585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01534902330046584,,,,0.015349023300465952,0.015349023300465952,,,,0.015349023300465952,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01534902330046584,,0.015349023300465952,,,,0.015349023300465952,,,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030698046600931905,,,,,0.015349023300465952,0.01534902330046573,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,0.01534902330046584,,,,0.015349023300465952,,,,,,0.030698046600931905,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465637,,,,0.015349023300465748,,0.015349023300465748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,,0.01534902330046584,,,0.015349023300465952,,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03069804660093168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465748,,,,,,,,0.015349023300465748,,,,,,,0.015349023300465748,,,0.015349023300465748,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01534902330046584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030698046600931905,,,,,,,0.01534902330046573,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,,,,,,0.015349023300465952,,,0.015349023300465952,,,,,,0.015349023300465952,,0.015349023300465952,,,0.015349023300465952,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,0.015349023300465952,,,,,0.015349023300465952,,,,,0.01534902330046584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0.01534902330046569,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465748,,,,,,,,,,,,,0.015349023300465637,0.015349023300465748,0.015349023300465748,0.030698046600931495,0.015349023300465637,,0.015349023300465748,,,,,,,0.015349023300465748,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,,,,,,,,,,0.015349023300465952,,,,,,,0.015349023300465952,,0.015349023300465952,,,,,0.030698046600931905,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,0.015349023300465952,0.015349023300465952,,,,0.015349023300465952,,,,0.015349023300465952,0.015349023300465952,,,,,,,0.015349023300465952,,,,0.015349023300465952,,,,,0.030698046600931905,,0.015349023300465952,0.030698046600931905,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015349023300465952,,,0.015349023300465952,,,,,,,,,,,,,,0.030698046600931905,,,,,,,,0.015349023300465952,,,,,,,,,0.015349023300465952,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0.015349023300465895,,,,0.015349023300465952,,0.015349023300465952,,,,,,,,,,,,,,0.015349023300465952,,0.015349023300465952,,,,,,,,,,0.015349023300465952,,,,,0.015349023300465952,,0.015349023300465952,,,,,0.030698046600931905,,,,,,,,,0.01534902330046573,,,,,,,,,,,,,,,,,,,,,,,,,,
